Test ID,GWD (m),Elevation,L (km),Slope (%),PGA (g),Target
922,1.495868564,3.15242219,1.626509365,0.815665483,0.401880562,0
50427,1.658161759,3.571523428,1.675651802,0.618252516,0.401880562,0
13858,1.423793554,3.791634798,2.033940825,0.700449526,0.395555854,0
49598,2.182389021,3.706140995,1.454678862,0.271793932,0.405072451,0
33222,1.818539262,3.801584959,1.766037334,0.355453134,0.398704052,1
33224,2.456318378,3.752381802,0.320599801,3.285832405,0.440642804,1
49597,2.184096575,3.754844666,1.439730322,0.260284126,0.405072451,0
37097,1.925568581,3.350297689,0.302778484,2.538145781,0.434091926,1
37098,2.300045013,3.635514975,0.306370371,2.176433086,0.437365353,1
50429,1.577342033,3.441997051,1.657984289,1.376847625,0.401880562,0
2777,1.49886322,4.031037331,2.196687647,1.006219745,0.392445683,0
50428,1.723333597,3.574975491,1.6935908,0.313741952,0.401880562,0
41691,2.402062893,3.806797504,0.320527408,2.09632206,0.437365353,1
33293,1.818539262,3.697942019,1.781731077,0.814608693,0.398704052,1
34720,2.300045013,3.802253008,0.316021895,0.821256816,0.434091926,1
2786,1.577342033,3.513764858,1.6854286,1.063368082,0.40425545,0
34719,1.925568581,3.576292276,0.323448726,2.024492264,0.436545253,1
25877,2.576053858,4.021211624,0.34151921,1.028577924,0.439840794,1
34721,2.300045013,3.634147406,0.328303729,0.821256816,0.439840794,1
51765,1.820503116,3.832154274,1.818188989,0.397628337,0.401091814,1
39299,2.230673075,3.559441328,1.206807224,0.157570451,0.413823247,0
48151,2.533688545,3.589035988,1.05193226,1.218539834,0.417029738,0
51764,1.820503116,3.55534339,1.79642042,0.742749572,0.401091814,1
51096,2.089640856,3.298665762,0.354817181,1.081130981,0.443142682,1
2792,2.091390133,3.494754314,1.173511107,1.183210135,0.413823247,0
3682,1.90141964,3.576440811,1.554018862,0.396498919,0.407434672,0
39298,2.237914562,3.557108879,1.205538229,0.157570451,0.413823247,0
3963,2.235308647,3.743355274,0.346800589,0.589642465,0.439840794,1
25881,1.90141964,3.663168669,1.553876641,0.80092144,0.407434672,0
41690,2.37369442,3.802521467,0.363318163,1.245112181,0.439840794,1
51093,1.971039534,3.495764971,0.373098726,0.211658403,0.443142682,1
48152,2.536064148,3.466878653,0.742855324,1.506030083,0.423475593,1
3971,2.057266235,3.641372919,0.350667407,1.075083137,0.436545253,1
25883,1.479836822,3.339265347,1.63971361,0.853781343,0.40425545,0
2788,2.224348068,3.57141614,1.289830474,0.174553961,0.410624564,0
25885,1.850799441,3.61280489,1.609898914,0.990711689,0.40425545,0
42713,1.791621089,3.4774158,1.816328459,2.208950281,0.401091814,1
48401,1.971039534,3.451619387,0.387756438,1.796494007,0.443142682,1
3690,2.154756546,3.588104486,1.51548402,0.533777416,0.407434672,0
2152,2.189270496,3.533405542,0.383706121,0.289780378,0.439840794,1
28589,2.17121911,3.579539299,1.278279851,0.454097092,0.413823247,0
3708,1.661117673,3.434495449,1.787384842,1.642080307,0.401091814,1
42714,1.667516232,3.809869289,1.854322438,1.007216334,0.401091814,1
2242,2.140717745,3.582838058,0.392365838,1.260416389,0.439840794,1
2780,1.764151692,3.555353403,1.459031165,1.305333376,0.407434672,0
25887,1.770637393,3.602941751,1.57653474,1.047940493,0.407434672,0
51787,1.770637393,3.516752243,1.596761176,1.511277914,0.407434672,0
